config_id,model_name,n_components,lda_solver,lda_shrinkage,svm_kernel,svm_c
8740b3428c,SVM,2,,,linear,0.01
105b62ab8a,SVM,2,,,linear,0.1
78ff512e63,SVM,2,,,linear,1.0
b3e1e9c8b7,SVM,2,,,linear,10.0
99165048a3,SVM,2,,,linear,100.0
cd9c3c7129,SVM,4,,,linear,0.01
bba7baf5dc,SVM,4,,,linear,0.1
f17fd14a01,SVM,4,,,linear,1.0
bc1f4b810e,SVM,4,,,linear,10.0
6f8e7933b2,SVM,4,,,linear,100.0
13bc293c07,SVM,6,,,linear,0.01
939e306f2c,SVM,6,,,linear,0.1
c051956e09,SVM,6,,,linear,1.0
f004101fef,SVM,6,,,linear,10.0
1f6cc013cd,SVM,6,,,linear,100.0
560c7bf2fd,SVM,8,,,linear,0.01
298005eb04,SVM,8,,,linear,0.1
f48b2bda91,SVM,8,,,linear,1.0
c2b726d4c9,SVM,8,,,linear,10.0
baf9e6b17d,SVM,8,,,linear,100.0
