experiment_group,config_id,model_name,n_components,lda_solver,lda_shrinkage,svm_kernel,svm_c,n_subjects,n_folds,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_f1_macro,std_f1_macro,mean_tpr_left,mean_tpr_right
svm_tuning_v1,f48b2bda91,SVM,8,,,linear,1.0,106,318,0.6240041928721174,0.1590422103392348,0.6244290955375861,0.15814273023592487,0.5846795453781208,0.18816248921597453,0.6111859838274932,0.6376722072476789
svm_tuning_v1,c051956e09,SVM,6,,,linear,1.0,106,318,0.623749625636418,0.15987065973797804,0.6239237047020066,0.158806586211673,0.5822601036835887,0.18975709327480353,0.6102313566936208,0.6376160527103923
svm_tuning_v1,1f6cc013cd,SVM,6,,,linear,100.0,106,318,0.6175052410901468,0.15762886555987665,0.6171570829589698,0.1561784902865862,0.572932801086048,0.19120119800855717,0.6150606469002695,0.6192535190176699
svm_tuning_v1,f17fd14a01,SVM,4,,,linear,1.0,106,318,0.6168014375561546,0.15811495641139223,0.6170166966157532,0.15768015165859767,0.5730410541161277,0.19094624745717634,0.6056454028152142,0.6283879904162922
svm_tuning_v1,6f8e7933b2,SVM,4,,,linear,100.0,106,318,0.6161275831087152,0.1568130388643492,0.6169886193471099,0.15543388020388219,0.5738250616681841,0.188057269779298,0.6128331835879005,0.6211440551063192
svm_tuning_v1,298005eb04,SVM,8,,,linear,0.1,106,318,0.6168688230008985,0.164648541808623,0.616782719377059,0.16389253411868765,0.5704847114918113,0.19799803452330156,0.6055892482779276,0.6279761904761905
svm_tuning_v1,f004101fef,SVM,6,,,linear,10.0,106,318,0.6155435759209343,0.15930361341028737,0.615528601377658,0.15774504101026962,0.5720166780063519,0.1916427801238784,0.6121967654986522,0.6188604372566636
svm_tuning_v1,939e306f2c,SVM,6,,,linear,0.1,106,318,0.6158505540581012,0.16327739271005076,0.6153133423180593,0.16241612117551588,0.5659467874119722,0.199570683368128,0.6118972746331237,0.6187294100029949
svm_tuning_v1,c2b726d4c9,SVM,8,,,linear,10.0,106,318,0.6148023360287511,0.1673689590086175,0.6147237196765499,0.16632974368913173,0.5700614092952284,0.200431086721281,0.6137690925426774,0.6156783468104222
svm_tuning_v1,bc1f4b810e,SVM,4,,,linear,10.0,106,318,0.6131626235399821,0.16150338412760754,0.6137878107217729,0.1605047116946664,0.5706857837567073,0.19263927739746717,0.6083408206049715,0.6192348008385744
svm_tuning_v1,baf9e6b17d,SVM,8,,,linear,100.0,106,318,0.6114630128781072,0.166832363258241,0.6111579065588499,0.16598764811083422,0.5654774077236279,0.19995058307169378,0.6144991015274034,0.6078167115902965
svm_tuning_v1,b3e1e9c8b7,SVM,2,,,linear,10.0,106,318,0.6059299191374663,0.16388150510640342,0.6045784666067685,0.1639905439226857,0.5634863898441648,0.19269408025979828,0.6079664570230608,0.6011904761904762
svm_tuning_v1,99165048a3,SVM,2,,,linear,100.0,106,318,0.6029649595687331,0.16043361278257626,0.6015741988619348,0.1604635283236377,0.5593422882834819,0.19000426826847192,0.6037174303683738,0.5994309673554956
svm_tuning_v1,bba7baf5dc,SVM,4,,,linear,0.1,106,318,0.6013027852650494,0.1562206812741743,0.600591494459419,0.15573894849372627,0.5432569175491164,0.1941674735075084,0.5989068583408207,0.6022761305780173
svm_tuning_v1,78ff512e63,SVM,2,,,linear,1.0,106,318,0.5998203054806828,0.1568158037897308,0.5975872267145852,0.1571374873730147,0.5511141379117973,0.19069171473464616,0.59836403114705,0.5968104222821203
svm_tuning_v1,105b62ab8a,SVM,2,,,linear,0.1,106,318,0.5914120994309673,0.1436177155242547,0.5897723869421982,0.1430449380818164,0.5168532175520977,0.18967506103358478,0.6002732854147949,0.5792714884696017
svm_tuning_v1,13bc293c07,SVM,6,,,linear,0.01,106,318,0.5573525007487272,0.12282846527198131,0.5574835280023959,0.1188882055531244,0.44660136234878706,0.1758201857205691,0.6247379454926625,0.49022911051212936
svm_tuning_v1,560c7bf2fd,SVM,8,,,linear,0.01,106,318,0.5571129080563043,0.1254544554453707,0.5572682689427972,0.12236171591821596,0.4467306806687853,0.17814779739942221,0.6220050913447139,0.4925314465408805
svm_tuning_v1,cd9c3c7129,SVM,4,,,linear,0.01,106,318,0.5563641808924827,0.12494066686435804,0.5569874962563641,0.12154508775762896,0.4443479114085699,0.1772657497499099,0.6152478286912249,0.49872716382150345
svm_tuning_v1,8740b3428c,SVM,2,,,linear,0.01,106,318,0.5492662473794548,0.12013055579522597,0.5490884246780473,0.11647545737101649,0.4299702329184096,0.17061973626722798,0.6089772386942198,0.4891996106618748
